"Description","Image","Price","Rating","SKU","Specifications","Title","Special offer","Node title","Categories","Tags"
"A luminous coating provides long-term illumination in the dark after only a short exposure to light. The current date is shown on the display. The tough, scratch-resistant mineral glass protects the watch against unsightly damage. The surface of the watch glass is domed. This offers a high level of stability and resistance against pressure. The screw connection on the base of the housing optimally protects the inner workings of the watch and simultaneously provides easy access, when changing the battery for example. Tough, durable and elegant: The stainless steel wrist strap gives your watch that classic feel. Always reliable: This watch has a particularly secure safety catch, which helps prevent the strap from opening by mistake. 10 years, 1 battery. Newly developed electronics ensure significantly lower energy consumption. Perfect for swimming and snorkelling: the watch is water resistant to 10 bar / 100 metres. The metres value does not relate to a diving depth but to the air pressure used in the course of the water resistance test. (ISO 22810).
","public://1005735584_0.jpg, public://1005735583_0.jpg, public://1005735581_0.jpg, public://1005735579_0.jpg, public://1005735580_0.jpg","8000","4/5","Watch-807809840","Accuracy
+/- 20 sec seconds per month
Type of battery
CR2012
Dimensions
approx. 48,60mm x 40,00mm x 9,90mm (H x W x D)
Weight
approx. 120,00 g
","Watch","0","Watch","Accessories, Accessories Men","Dolor, Elit, Adipiscing, Lorem"
"A luminous coating provides long-term illumination in the dark after only a short exposure to light. Elapsed times are measured with split-second accuracy. The watch can measure times of up to 30 minutes. The tough, scratch-resistant mineral glass protects the watch against unsightly damage. The screw connection on the base of the housing optimally protects the inner workings of the watch and simultaneously provides easy access, when changing the battery for example. Synthetic resin is the ideal material for wrist straps thanks to its extremely durable and flexible properties. The battery supplies the watch with sufficient energy for approx. two years. Perfect for swimming and snorkelling: the watch is water resistant to 10 bar / 100 metres. The metres value does not relate to a diving depth but to the air pressure used in the course of the water resistance test. (ISO 22810).
","public://1003001758.jpg, public://1003001757.jpg, public://1003001759.jpg","13600","0/5","Watch-817775433","Accuracy
+/- 20 sec seconds per month
Type of battery
SR621SW
Dimensions
approx. 49,10mm x 43,80mm x 10,80mm (H x W x D)
Weight
approx. 81,00 g
 
","Watch","1","Watch","Accessories, Accessories Men","Dolor, Elit, Adipiscing"
"An electro-luminescent panel causes the entire face to glow for easy reading. Auto Light automatically turns on the EL backlight when the watch is tilted towards your face for reading. A luminous coating provides long-term illumination in the dark after only a short exposure to light. A sensor measures the ambient temperature around the watch and displays it in °C (-10°C /+60°C). Displays the current time in major cities and specific areas around the world. Elapsed time, split time and final time are measured with 1/100-sec accuracy. The watch can measure times of up to 100 hours. Measured total, lap and split times can be stored in a memory with the date and can be displayed again later. A data set consists of: date, total, lap and split times. The memory has enough space for up to 50 data sets. Some models can also store calculated distances and calories. For fans of precision: the countdown timers help you to remember specific or recurring events by giving off an audible signal at a preset time. They then count back automatically from the preset time. The time can be set to the minute and up to 100 hours in advance. Ideal for people who need to take medicines every day or those who do interval training. The daily alarm reminds you of events that recur every day, by emitting an audible signal at the set time. The button tones for using the mode button can be turned off. This means that the watch no longer beeps when switching from one function to another. Preset alarm or countdown timers remain active when the button tones are deactivated.
Once set, the automatic calendar always displays the correct date.
Times can be displayed in either a 12-hour or 24-hour format.
The tough, scratch-resistant mineral glass protects the watch against unsightly damage.
The surface of the watch glass is domed. This offers a high level of stability and resistance against pressure.
Tough, durable and elegant: The stainless steel wrist strap gives your watch that classic feel.
Always reliable: This watch has a particularly secure safety catch, which helps prevent the strap from opening by mistake. 
The battery supplies the watch with sufficient energy for approx. three years.
Perfect for swimming and snorkelling: the watch is water resistant to 10 bar / 100 metres. The metres value does not relate to a diving depth but to the air pressure used in the course of the water resistance test. (ISO 22810).
","public://1005735728.jpg, public://1005735727.jpg, public://1005735726.jpg, public://1005735724.jpg, public://1005735725.jpg","11700","4/5","Watch-51105081","Accuracy
+/- 30 sec seconds per month
Type of battery
SR927W x 2
Dimensions
approx. 43,90mm x 38,30mm x 12,90mm (H x W x D)
Weight
approx. 130,00 g
 
","Watch","1","Watch","Accessories, Accessories Men","Dolor, Lorem"
"The current date is shown on the display.
The tough, scratch-resistant mineral glass protects the watch against unsightly damage.
The surface of the watch glass is domed. This offers a high level of stability and resistance against pressure.
The screw connection on the base of the housing optimally protects the inner workings of the watch and simultaneously provides easy access, when changing the battery for example.
Stylish look and lightweight properties set titanium apart. The high-quality material is resistant to corrosion and is gentle on the skin, making it ideal for allergy sufferers.
Always reliable: This watch has a particularly secure safety catch, which helps prevent the strap from opening by mistake. 
10 years, 1 battery. Newly developed electronics ensure significantly lower energy consumption.
This watch can be worn when showering and bathing - it is tested for water resistance up to 5 bar / 50 metres. The metres value does not relate to a diving depth but to the air pressure used in the course of the water resistance test. (ISO 22810).
","public://1005735781.jpg, public://1005735780.jpg, public://1005735779.jpg, public://1005735777.jpg, public://1005735778.jpg","10700","4/5","Watch-1363574932","Accuracy
+/- 20 sec seconds per month
Type of battery
CR2012
Dimensions
approx. 45,50mm x 37,50mm x 9,40mm (H x W x D)
Weight
approx. 98,20 g
","Watch","1","Watch","Accessories, Accessories Men","Dolor, Elit, Adipiscing, Lorem"
"A light-emitting diode (LED) is used to illuminate the watch face, incl. the feature of an Auto Light Switch that illuminates the display when the watch is angled towards the face.
Shock-resistant construction protects against impact and vibration.
The housing is designed to shield the clock from magnetic fields.
Displays the current time in major cities and specific areas around the world.
Measures with an accuracy of thousandth part seconds the meantime and the end time. Signals confirm the starting/stop selection. The measuring capacity reaches up to 100 hours.
For fans of precision: the countdown timers help you to remember specific or recurring events by giving off an audible signal at a preset time. They then count back automatically from the preset time. The time can be set to the nearest minute and up to 24 hours in advance. Ideal for people who need to take medicines every day or those who do interval training.
The daily alarm reminds you about recurring events with an acoustic signal at the time you have set. You can also activate hourly time signal that indicates each full hour. This model has 5 independent alarms for flexible reminders of important appointments.
Each time you stop the alarm, it sounds again after a few minutes.
The average speed for a travelled route can be measured. Simply enter the distance at the start and press the stop watch when the destination has been reached - and the average speed is shown.
Once set, the automatic calendar always displays the correct date.
Times can be displayed in either a 12-hour or 24-hour format.
The tough, scratch-resistant mineral glass protects the watch against unsightly damage.
Synthetic resin is the ideal material for wrist straps thanks to its extremely durable and flexible properties.
The battery supplies the watch with sufficient energy for approx. two years.
Perfect for free diving without scuba gear: the watch is water resistant to 20 bar / 200 metres. The metres value does not relate to a diving depth but to the air pressure used in the course of the water resistance test. (ISO 22810).
","public://1005714360.jpg, public://1005714357.jpg, public://1005714355.jpg, public://1005714359.jpg, public://1005714358.jpg","17500","4/5","Watch-736461210","Accuracy
+/- 15 sec seconds per month
Type of battery
CR1220
Dimensions
approx. 55,0mm x 51,2mm x 16,9mm (H x W x D)
Weight
approx. 72,0 g
","Watch","0","Watch","Accessories, Accessories Men","Dolor, Consectetuer, Lorem"
"This is the gorgeous bag
","public://1010260147.jpg, public://1010260148.jpg, public://1010260149.jpg, public://1010260150.jpg","7000","0/5","Woman039sbag-717278057","Available colours
Black,Yellow
","Woman's bag","1","Woman's bag","Accessories, Bags and Wallets","Lorem"
"This bag is really gorgeous!
","public://1009481766.jpg, public://1009481759.jpg, public://1009276161.jpg, public://1009481765.jpg, public://1009481763.jpg, public://1009481764.jpg","21100","0/5","Woman039sbag-856627548","Available colours
White
","Woman's bag","0","Woman's bag","Accessories, Bags and Wallets","Elit, Adipiscing, Lorem"
"This clutch is really amazing!
","public://1010214123.jpg, public://1010214114.jpg, public://1010214117.jpg, public://1010214119.jpg","11900","3/5","Amazingclutch-228487270","Available colours
Red, Blue
","Amazing clutch","0","Amazing clutch","Accessories, Bags and Wallets","Adipiscing, Lorem"
"This dummy content is really amazing!
","public://1010258961.jpg, public://1010258951.jpg, public://1010258959.jpg, public://1010258960.jpg","9900","4/5","Gorgeousclutch-1919598854","Available colours
Biege
","Gorgeous clutch","0","Gorgeous clutch","Accessories, Bags and Wallets","Lorem"
"This wallet can make you happy
","public://1010343500.jpg, public://1010343498.jpg, public://1010343499.jpg","12100","5/5","Wallet-1498855051","Available colours
Any 
","Wallet","0","Wallet","Accessories, Bags and Wallets","Elit, Lorem"
